"";"trabalha";"mae";"raça";"NSEAluno";"major"
"296";"Trabalhar";"Fund+";"Parda";"5.96";"Publica"
"297";"Trabalhar";"Fund-";"Parda";"4.95";"Publica"
"298";"Nao_Sabe";"Fund-";"Branca";"5.82";"Publica"
"299";"Nao_Sabe";"Medio+";"Branca";"5.74";"Publica"
"300";"Trabalhar";"Fund-";"Branca";"4.81";"Publica"
"301";"Nao_Sabe";"Fund+";"Parda";"6.66";"Publica"
"302";"Nao_Sabe";"Fund-";"Parda";"6.46";"Publica"
"303";"Trabalhar";"Fund-";"Preta";"3.46";"Publica"
"304";"Nao_Sabe";"Superior+";"Parda";"4.74";"Publica"
"305";"Trabalhar";"Superior+";"Parda";"4.52";"Publica"
"306";"Nao_Sabe";"Fund-";"Branca";"5.9";"Publica"
"307";"Nao_Sabe";"Fund+";"Parda";"";"Privada"
"308";"Trabalhar";"Fund+";"Parda";"";"Publica"
"309";"Trabalhar";"Fund-";"Preta";"6.06";"Publica"
"310";"Estudar";"Fund+";"Branca";"7.18";"Publica"
"311";"Trabalhar";"Fund+";"Branca";"5.51";"Publica"
"312";"Nao_Sabe";"Fund+";"Parda";"4.45";"Publica"
"313";"Nao_Sabe";"Medio+";"Parda";"6.69";"Privada"
"314";"Trabalhar";"Fund+";"Parda";"5.26";"Publica"
"315";"Trabalhar";"Fund-";"Parda";"4.92";"Publica"
"316";"Trabalhar";"Fund-";"Branca";"4.79";"Publica"
"317";"Estudar";"Fund+";"Branca";"5.57";"Publica"
"318";"Nao_Sabe";"Superior+";"Branca";"5.13";"Pub+Pri"
"319";"Estudar";"Fund+";"Branca";"6.63";"Pub+Pri"
"320";"Nao_Sabe";"Fund-";"Preta";"4.37";"Pub+Pri"
"321";"Estudar";"Fund-";"Parda";"6.07";"Publica"
"322";"Trabalhar";"Fund-";"Branca";"4.07";"Publica"
"323";"Estudar";"Fund+";"Branca";"4.53";"Publica"
"324";"Estudar";"Medio+";"Branca";"6.09";"Pub+Pri"
"325";"Estudar";"Fund-";"Branca";"";"Publica"
"326";"Estudar";"Fund+";"Branca";"5.56";"Publica"
"327";"Trabalhar";"Fund+";"Parda";"5.36";"Publica"
"328";"Trabalhar";"Fund+";"Branca";"4.43";"Publica"
"329";"Trabalhar";"Fund+";"Branca";"5.23";"Publica"
"330";"Trabalhar";"Fund-";"Parda";"4.2";"Publica"
"331";"Trabalhar";"Fund-";"Branca";"3.64";"Publica"
"332";"Trabalhar";"Fund-";"Parda";"5.7";"Publica"
"333";"Nao_Sabe";"Superior+";"Parda";"5.15";"Publica"
"334";"Nao_Sabe";"Fund+";"Branca";"4.95";"Publica"
"335";"Trabalhar";"Fund-";"Preta";"6.91";"Publica"
"336";"Trabalhar";"Fund-";"Parda";"4.77";"Publica"
"337";"Nao_Sabe";"Superior+";"Branca";"5.45";"Publica"
"338";"Trabalhar";"Fund+";"Branca";"5.53";"Publica"
"339";"Nao_Sabe";"Fund+";"Parda";"5.08";"Publica"
"340";"Trabalhar";"Superior+";"Parda";"3.36";"Publica"
"341";"Nao_Sabe";"Fund-";"Parda";"4.43";"Publica"
"342";"Trabalhar";"Fund-";"Branca";"5";"Publica"
"343";"Trabalhar";"Fund-";"Branca";"5.1";"Publica"
"344";"Trabalhar";"Superior+";"Branca";"5.21";"Publica"
"345";"Estudar";"Fund+";"Parda";"5.76";"Pub+Pri"
"346";"Trabalhar";"Superior+";"Branca";"5.16";"Publica"
"347";"Trabalhar";"Superior+";"Parda";"5.3";"Publica"
"348";"Nao_Sabe";"Fund-";"Preta";"4.44";"Publica"
"349";"Nao_Sabe";"Fund+";"Branca";"5.55";"Publica"
"350";"Nao_Sabe";"Superior+";"Parda";"5.02";"Publica"
"351";"Nao_Sabe";"Fund+";"Parda";"5.68";"Publica"
"352";"Trabalhar";"Medio+";"Branca";"6.78";"Publica"
"353";"Nao_Sabe";"Fund+";"Branca";"5.64";"Publica"
"354";"Estudar";"Fund+";"Branca";"5.73";"Publica"
"355";"Trabalhar";"Medio+";"Parda";"5.84";"Publica"
"356";"Nao_Sabe";"Fund-";"Parda";"4.43";"Publica"
"357";"Trabalhar";"Fund+";"Branca";"5.99";"Publica"
"358";"Nao_Sabe";"Fund-";"Parda";"4.35";"Publica"
"359";"Nao_Sabe";"Superior+";"Parda";"5.78";"Publica"
"360";"Trabalhar";"Fund-";"Branca";"5.31";"Publica"
"361";"Trabalhar";"Medio+";"Parda";"5.96";"Pub+Pri"
"362";"Nao_Sabe";"Superior+";"Branca";"7.38";"Pub+Pri"
"363";"Nao_Sabe";"Medio+";"Branca";"5.06";"Publica"
"364";"Nao_Sabe";"Superior+";"Branca";"6.29";"Pub+Pri"
"365";"Trabalhar";"Medio+";"Branca";"5.17";"Publica"
"366";"Trabalhar";"Fund+";"Branca";"6.15";"Pub+Pri"
"367";"Nao_Sabe";"Superior+";"Parda";"4.92";"Publica"
"368";"Trabalhar";"Superior+";"Branca";"4.84";"Privada"
"369";"Estudar";"Fund-";"Preta";"5.08";"Pub+Pri"
"370";"Trabalhar";"Fund-";"Branca";"5.37";"Publica"
"371";"Trabalhar";"Fund+";"Parda";"4.86";"Publica"
"372";"Nao_Sabe";"Fund+";"Branca";"5.18";"Publica"
"373";"Trabalhar";"Fund+";"Branca";"5.37";"Publica"
"374";"Nao_Sabe";"Superior+";"Parda";"5.52";"Publica"
"375";"Trabalhar";"Superior+";"Branca";"5.19";"Publica"
"376";"Nao_Sabe";"Medio+";"Parda";"6.64";"Publica"
"377";"Trabalhar";"Fund+";"Branca";"5.53";"Publica"
